t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1.02,APPROACH,FLY_TO_FIX,144.41,80.4,-64.01,1499.52,0.01,-0.81,-0.82,270.02,-0.017,0,0,-20,63.99,0.002,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.06,FLYING
1.8,APPROACH,FLY_TO_FIX,144.03,80.8,-63.23,1499.54,0.02,-0.84,-0.81,270.34,-8.153,0,0,-20,64.27,0.002,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.84,FLYING
2.52,APPROACH,FLY_TO_FIX,143.29,81.2,-62.09,1417.28,-0.42,-1.32,-0.98,270.99,-23.031,0,0,-20,64.54,0.003,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.56,FLYING
3.22,APPROACH,FLY_TO_FIX,142.43,81.6,-60.83,1376.82,-2.09,-2.37,-1.38,271.66,-38.608,0,0,-20,64.79,0.007,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.26,FLYING
3.94,APPROACH,FLY_TO_FIX,141.55,82,-59.55,1355.83,-5.75,-3.55,-1.31,272.75,-54.54,0,0,-20,65.07,0.019,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.98,FLYING
4.66,APPROACH,FLY_TO_FIX,139.5,82.4,-57.1,1325.96,-5.75,0.71,8.42,286.14,-69.627,0,0,-20,65.35,0.038,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.7,FLYING
5.36,APPROACH,FLY_TO_FIX,135.52,82.8,-52.72,1314.52,-6.49,-0.27,10.36,296.3,-77.792,0.0811,0,-20,65.66,0.059,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.4,FLYING
6.06,APPROACH,FLY_TO_FIX,130.24,83.2,-47.04,1310.83,-7.98,-0.8,11.52,306.91,-77.684,0.2811,0,-20,66.02,0.084,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.1,FLYING
6.8,APPROACH,FLY_TO_FIX,125.25,83.6,-41.65,1287.16,-9.81,-1.14,13.17,318.1,-77.007,0.4811,0,-20,66.44,0.117,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.84,FLYING
7.52,APPROACH,FLY_TO_FIX,120.55,84,-36.55,1261.11,-11.32,-1.91,12,326.2,-75.482,0.6811,0,-20,66.87,0.155,0,0,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.56,FLYING
